,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
mèche ,drill bit,B,189,5.35,1.65,3.95,2.79,5.47,1.62,3.35,2.74,5.25,1.71,4.45,2.80,5,3,1,NOUN,8.21,19.12,6.50,1,,,,
médaille ,medal,B,190,7.00,1.44,5.48,2.70,7.33,1.61,5.89,2.63,6.81,1.33,5.25,2.75,8,5,2,NOUN,12.44,9.53,6.28,1,,,,
médecine,medicine,,,6.17,2.01,4.75,2.35,5.08,2.61,5.08,2.81,6.37,1.83,4.69,2.27,8,6,2,NOUN,23.29,12.36,3.79,,,,,1
médicament ,medicine,B,191,3.12,1.98,3.42,2.33,3.94,2.18,4.28,2.47,2.66,1.72,2.94,2.14,10,8,4,NOUN,12.03,4.12,5.70,1,,,,
méduse,jellyfish,AF,358,3.06,1.77,4.62,2.96,3.22,1.66,4.17,2.53,2.97,1.84,4.88,3.19,6,5,2,NOUN,0.66,1.42,4.43,1,,,,
mélange,mixture,,,6.21,1.69,4.51,2.37,6.56,1.88,4.11,2.20,6.16,1.67,4.56,2.40,7,5,2,NOUN,9.56,28.58,3.95,,,,,1
mémoire,memory,,,6.86,1.56,4.85,2.27,5.88,1.73,4.38,2.77,6.97,1.51,4.90,2.22,7,6,2,NOUN,56.60,105.74,2.53,,,,,1
mensonge,lie,,,2.62,2.15,5.78,2.92,3.47,2.67,5.71,2.97,1.90,1.25,5.85,2.94,8,5,2,NOUN,33.64,21.89,2.95,,,1,,1
menthe,mint,,,6.24,2.00,4.06,2.55,6.22,2.13,4.67,2.38,6.25,1.95,3.72,2.62,6,3,1,NOUN,5.21,9.39,5.90,,,,,
mer ,sea,B,193,7.54,2.14,6.19,2.56,6.82,2.60,6.00,2.52,8.15,1.46,6.35,2.64,3,3,1,NOUN,99.49,246.55,6.42,1,,,,
mère,mother,,,7.08,2.25,5.16,2.86,6.22,2.32,4.83,2.96,7.56,2.09,5.34,2.84,4,3,1,NOUN,672.00,737.09,6.49,,,,,1
mesure,measure,,,4.75,0.81,3.65,1.75,4.83,0.58,3.50,2.07,4.74,0.85,3.68,1.71,6,5,2,NOUN,21.02,112.16,3.31,,,,,1
méthode,method,,,5.43,1.40,3.30,1.84,5.22,1.39,3.78,1.92,5.46,1.41,3.24,1.83,7,5,2,NOUN,13.83,16.42,2.61,,,,,1
mètre ,tape measure,B,194,4.50,1.52,2.53,1.67,4.88,1.50,2.71,1.65,4.19,1.50,2.38,1.72,5,4,1,NOUN,6.03,21.82,5.56,1,,,,1
meuble,a piece of furniture,,,4.86,1.46,3.43,2.33,4.41,1.42,4.00,2.50,5.25,1.41,2.95,2.11,6,4,1,NOUN,2.46,11.76,6.60,,,,,
micro ,microphone,B,195,5.03,1.79,3.87,2.32,5.47,1.46,4.06,2.68,4.67,1.98,3.71,2.03,5,5,2,NOUN,11.25,6.82,5.77,1,,,,
miette,crumb,,,4.36,1.50,3.28,2.09,4.56,1.04,3.39,1.88,4.25,1.70,3.22,2.22,6,4,1,NOUN,2.54,4.12,6.50,,,,,
minute,minute,,,4.92,1.36,3.91,2.05,4.50,1.41,2.75,1.98,4.97,1.35,4.04,2.03,6,5,2,NOUN,144.83,60.74,4.43,,,,,1
miracle,miracle,,,8.14,1.35,6.88,2.56,7.50,1.98,5.33,2.90,8.26,1.19,7.17,2.41,7,6,2,NOUN,39.78,34.12,3.19,,,,,1
miroir ,mirror,B,196,5.54,1.59,3.73,2.46,5.24,1.71,4.00,2.35,5.80,1.47,3.50,2.59,6,6,2,NOUN,24.89,48.58,6.78,1,,,,
miséricorde,mercy,,,3.65,2.38,4.61,2.36,4.89,1.27,3.22,2.05,3.48,2.45,4.79,2.35,11,10,4,NOUN,8.77,5.07,,,,,,1
moelleux,soft,,,7.37,1.42,4.22,2.34,6.13,1.73,3.50,1.51,7.51,1.33,4.30,2.41,8,5,2,ADJ,0.98,4.53,,,,,,1
moment,moment,,,5.83,1.31,4.78,2.18,5.75,1.42,4.25,2.60,5.85,1.30,4.88,2.10,6,4,2,NOUN,403.25,611.62,2.57,,,,,1
monarchie,monarchy,,,2.97,1.78,4.88,2.38,3.89,1.17,5.44,1.59,2.85,1.81,4.81,2.46,9,7,3,NOUN,1.10,4.53,3.41,,,,,1
monde ,world,B,199,6.28,1.91,5.22,2.84,6.33,1.61,5.44,2.50,6.25,2.08,5.09,3.04,5,3,1,NOUN,823.62,732.43,5.41,1,,,,
montagne,mountain,AF,148,6.82,2.13,5.18,2.96,7.41,1.73,5.00,3.20,6.33,2.33,5.33,2.82,8,5,2,NOUN,36.76,49.80,6.82,1,,,,1
montre,watch,AF,250,5.65,2.02,3.78,2.62,6.12,2.03,4.29,2.87,5.25,1.97,3.35,2.37,6,4,1,NOUN,43.91,41.62,6.55,1,,,,1
morale,morals,,,5.94,2.13,4.42,2.16,7.00,1.20,4.75,0.89,5.82,2.18,4.38,2.26,6,5,2,NOUN,12.89,21.01,2.44,,,,,1
moto,motorcycle,AF,147,5.76,2.24,5.35,2.73,6.06,1.82,5.24,2.88,5.50,2.56,5.45,2.67,4,4,2,NOUN,22.61,15.27,6.33,1,,,,1
mouche,fly,AF,93,3.70,2.23,5.14,2.83,4.76,2.31,5.24,2.36,2.80,1.77,5.05,3.24,6,3,1,NOUN,15.36,18.72,6.67,1,,,,1
moufle,mitten,AF,144,4.76,1.77,3.11,2.59,5.12,1.65,3.41,2.60,4.45,1.85,2.85,2.62,6,4,1,NOUN,0.28,0.34,6.40,1,,,,1
moule,mold,,,5.57,1.98,4.04,2.26,6.17,1.53,4.33,2.77,5.46,2.05,3.98,2.17,5,3,1,NOUN,3.56,3.99,5.66,1,,,,1
moulin,windmill,AF,256,4.57,1.56,2.84,2.10,4.94,1.03,2.88,2.03,4.25,1.86,2.80,2.21,6,4,2,NOUN,6.80,15.61,6.23,1,,,,1
mousse ,foam,,,6.16,1.71,3.84,2.24,6.35,1.93,3.94,2.30,6.00,1.52,3.75,2.24,6,3,1,NOUN,6.24,23.04,5.37,,,,,
moustache ,mustache,B,202,4.44,1.77,3.30,2.27,5.06,1.59,3.94,2.13,4.09,1.80,2.94,2.30,9,6,2,NOUN,10.65,28.92,6.67,1,,,,
moustique ,mosquito,B,203,2.42,1.76,5.38,3.11,3.33,1.97,4.39,2.68,1.91,1.42,5.94,3.23,9,6,2,NOUN,2.53,1.49,6.54,1,,,,
mouton,sheep,AF,202,5.41,1.72,3.73,2.71,6.29,1.57,4.06,2.99,4.65,1.50,3.45,2.50,6,4,2,NOUN,6.08,14.12,6.82,1,,,,1
moyen,medium,,,4.71,1.20,3.40,1.90,4.56,1.33,3.67,2.00,4.74,1.19,3.37,1.90,5,5,2,NOUN,53.27,48.72,2.93,,,,1,1
mur ,wall,B,204,4.19,1.58,2.78,2.46,4.29,1.90,3.00,2.92,4.10,1.29,2.60,2.06,3,3,1,NOUN,58.90,172.57,6.08,1,,,,1
muscle,muscle,,,6.18,1.84,5.16,2.76,5.65,1.73,4.47,2.96,6.62,1.86,5.71,2.51,6,5,1,NOUN,3.86,3.92,6.17,,,,,1
musique,music,,,8.49,0.93,6.89,2.64,8.18,1.13,7.12,2.52,8.75,0.64,6.70,2.79,7,5,2,NOUN,168.89,109.80,5.23,,,,,1
mutation,mutation,,,4.47,2.04,5.37,2.27,5.13,1.96,5.50,2.14,4.39,2.05,5.35,2.30,8,7,3,NOUN,4.67,3.18,3.34,,,,,1
nage,swim,,,6.12,2.05,4.74,2.34,5.56,1.89,4.83,2.26,6.44,2.09,4.69,2.42,4,3,1,NOUN,5.37,6.22,5.08,,,,,
nappe,tablecloth,,,4.73,1.19,2.30,1.68,4.35,1.17,2.06,1.43,5.05,1.15,2.50,1.88,5,3,1,NOUN,3.01,18.18,6.30,1,,,,
natte ,plaits,B,206,5.47,1.87,3.37,2.35,4.94,1.68,3.35,2.23,5.90,1.95,3.38,2.50,5,3,1,NOUN,0.88,4.26,4.18,1,,,,
nature,nature,,,6.43,2.33,5.22,2.67,6.41,2.37,4.71,2.80,6.45,2.35,5.65,2.54,6,5,2,NOUN,59.80,93.45,5.62,,,,,1
neige,snow,,,7.65,1.46,6.16,2.60,7.71,1.69,6.35,2.50,7.60,1.27,6.00,2.73,5,3,1,NOUN,37.52,74.93,6.72,,,,,1
neutre,neutral,,,4.90,0.74,3.49,1.71,4.83,0.58,3.17,1.95,4.91,0.76,3.55,1.68,6,4,1,ADJ,4.32,10.20,2.10,,,,,1
nez,nose,AF,155,5.00,1.50,2.94,2.18,5.22,1.63,3.50,2.62,4.88,1.43,2.63,1.86,3,2,1,NOUN,75.18,177.64,6.70,1,,,,1
niche,doghouse,AF,343,5.19,1.84,3.16,2.46,5.06,1.89,3.00,2.52,5.30,1.84,3.30,2.45,5,3,1,NOUN,2.17,6.35,5.73,1,,,,
nid,bird nest,AF,265,5.62,1.62,3.35,1.89,5.53,1.55,4.00,1.90,5.70,1.72,2.80,1.74,3,2,1,NOUN,11.07,14.59,6.33,1,,,,1
nihilisme,nihilism,,,4.21,1.42,4.01,2.24,4.67,2.00,5.33,2.24,4.15,1.33,3.84,2.20,9,7,3,NOUN,0.11,1.22,,,,,,1
noblesse,nobility,,,5.52,1.95,3.87,2.09,4.75,1.28,3.63,2.88,5.61,2.00,3.90,2.01,8,6,2,NOUN,6.09,12.43,3.20,,,,,1
noeud,knot,AF,33,4.08,1.75,3.50,2.28,4.35,1.17,3.35,2.42,3.86,2.10,3.62,2.20,5,2,1,NOUN,7.64,14.46,6.22,1,,,,1
noir,black,,,4.01,2.29,4.52,2.56,5.08,1.83,3.67,2.46,3.82,2.32,4.68,2.57,4,4,1,ADJ,72.20,184.86,5.90,,,,,1
noix ,walnut,B,207,4.81,1.31,3.11,2.13,4.88,0.78,2.88,1.96,4.75,1.65,3.30,2.30,4,3,1,NOUN,12.83,12.23,6.65,1,,,,1
norme,norm,,,4.63,1.52,3.99,2.33,4.22,1.39,5.78,2.22,4.69,1.54,3.75,2.25,5,4,1,NOUN,1.58,1.15,2.31,,,,,1
note ,note,B,208,4.14,2.04,3.73,2.76,4.53,2.53,3.94,2.77,3.80,1.51,3.55,2.80,4,3,1,NOUN,33.42,39.32,4.90,1,,,,1
nuage,cloud,AF,62,6.03,2.07,3.51,2.51,5.82,1.94,3.47,2.29,6.20,2.21,3.55,2.74,5,4,1,NOUN,11.81,26.49,6.74,1,,,,1
nuit,night,,,7.78,1.70,6.73,2.49,7.41,2.00,6.59,2.24,8.10,1.37,6.85,2.74,4,3,1,NOUN,557.56,672.36,5.54,,,,,1
obscur,obscure,,,3.62,2.06,4.57,2.54,4.63,0.74,3.63,2.07,3.51,2.13,4.68,2.57,6,6,2,ADJ,5.00,29.12,,,1,,,1
observation,observation,,,5.66,1.50,4.05,2.21,5.67,1.72,4.25,2.83,5.66,1.47,4.02,2.10,11,10,4,NOUN,6.91,11.08,2.90,,,,,1
obstination,obstinacy,,,5.84,1.84,5.50,1.88,5.11,1.27,5.56,1.59,5.94,1.89,5.49,1.93,11,10,4,NOUN,1.26,12.09,,,,,,1
occident,west,,,5.33,1.35,4.10,1.86,5.63,0.92,3.25,2.25,5.30,1.39,4.20,1.81,8,6,3,NOUN,0.38,1.69,,,,,,1
oeil,eye,AF,86,5.92,1.57,3.54,2.60,5.94,1.56,4.12,2.60,5.90,1.62,3.05,2.56,4,2,1,NOUN,97.13,278.51,6.87,1,,,,1
oeuf ,egg,B,209,4.84,2.10,3.03,2.25,5.59,1.80,3.71,2.23,4.20,2.17,2.45,2.16,4,2,1,NOUN,13.53,20.34,6.95,1,,,,1
oie ,goose,B,210,4.86,1.99,3.14,2.43,5.65,1.73,3.71,2.31,4.20,1.99,2.65,2.48,3,2,1,NOUN,5.42,5.20,6.72,1,,,,
oignon,onion,AF,157,4.24,2.26,3.58,2.46,4.06,2.04,4.33,2.45,4.34,2.40,3.16,2.40,6,3,2,NOUN,4.35,5.34,6.85,1,,,,1
oiseau,bird,AF,28,6.82,1.83,4.11,2.32,6.82,1.47,3.82,2.38,6.81,2.11,4.33,2.31,6,4,2,NOUN,43.78,47.97,6.74,1,,,,1
olive,olive,,,5.74,1.57,3.83,2.17,5.92,1.31,3.83,2.41,5.71,1.62,3.83,2.14,5,4,2,NOUN,2.54,4.12,6.88,,,,,1
oncle,uncle,,,6.00,1.60,4.22,2.48,5.94,1.39,4.50,2.57,6.03,1.73,4.06,2.46,5,3,1,NOUN,124.11,121.96,5.25,,,,,
ongle ,nail,B,211,4.68,2.11,3.76,2.34,4.24,1.71,3.12,2.03,5.05,2.36,4.29,2.49,5,3,1,NOUN,2.35,10.14,6.41,1,,,,
onze,eleven,,,5.32,1.55,3.97,2.73,5.71,1.61,4.35,2.40,5.00,1.45,3.65,3.01,4,2,1,ADJ:num,11.27,38.85,4.80,,,,,
opinion,opinion,,,6.79,1.50,5.48,2.21,6.11,1.27,4.33,2.00,6.88,1.51,5.63,2.21,7,6,3,NOUN,28.43,33.24,2.51,,,,,1
orange,orange,AF,158,5.92,2.17,4.03,2.75,5.65,2.29,4.29,2.73,6.14,2.10,3.81,2.80,6,4,2,NOUN,11.56,12.03,6.88,1,,,,1
ordre,order,,,5.28,2.33,5.04,2.43,5.13,1.46,4.75,2.43,5.30,2.42,5.07,2.45,5,4,1,NOUN,132.50,179.26,3.19,,,,,1
oreille,ear,AF,83,5.68,1.62,3.68,2.47,6.18,1.70,3.53,2.79,5.25,1.45,3.80,2.24,7,4,2,NOUN,34.46,103.45,6.73,1,,,,1
oreiller ,pillow,B,212,7.05,2.16,3.76,2.82,6.88,2.57,3.88,2.93,7.20,1.79,3.65,2.80,8,5,3,NOUN,7.93,26.35,6.74,1,,,,1
orteil,toe,AF,235,4.84,1.94,3.08,2.37,4.94,2.16,3.41,2.37,4.75,1.77,2.80,2.40,6,5,2,NOUN,4.04,1.96,6.84,1,,,,
os ,bone,B,214,4.30,1.68,3.14,2.29,4.47,1.62,3.65,2.12,4.15,1.76,2.70,2.39,2,2,1,NOUN,40.77,49.73,6.70,1,,,,1
osier,wicker,,,4.96,1.28,3.50,1.77,5.00,0.85,3.42,1.78,4.95,1.35,3.52,1.78,5,4,2,NOUN,0.35,12.30,,,,,,1
oubli,oversight,,,2.65,1.44,5.00,2.67,2.47,1.59,6.06,2.54,2.80,1.32,4.10,2.49,5,4,2,NOUN,6.92,28.65,2.72,,,,,1
ours,bear,AF,21,6.00,2.03,5.35,2.57,7.12,1.27,5.59,2.06,5.05,2.09,5.15,2.98,4,3,1,NOUN,23.96,17.36,,1,,,,1
outil,tool,,,5.23,1.12,3.44,2.07,5.11,1.36,4.33,1.66,5.25,1.10,3.32,2.11,5,3,2,NOUN,3.63,10.14,5.50,,,,,1
pacifisme,pacifism,,,7.37,1.66,3.56,2.70,6.75,1.98,3.50,3.16,7.44,1.62,3.56,2.67,9,8,3,NOUN,0.14,0.54,,,,,,1
pacte,pact,,,5.78,1.63,4.90,2.14,5.67,1.23,4.33,2.10,5.80,1.70,5.00,2.15,5,4,1,NOUN,7.29,11.49,3.10,,,,,1
pain,bread,AF,36,6.51,1.46,3.86,2.39,6.76,1.52,4.88,2.55,6.30,1.42,3.00,1.92,4,2,1,NOUN,62.81,99.32,6.77,1,,,,1
paix,peace,,,7.70,1.43,4.43,2.56,7.29,1.40,4.59,2.67,8.05,1.39,4.30,2.52,4,2,1,NOUN,144.86,103.72,3.60,,,,,1
panda,panda,AF,370,7.24,1.67,4.65,2.72,7.24,1.35,5.06,2.44,7.25,1.94,4.30,2.96,5,4,2,NOUN,1.46,0.14,6.72,1,,,,
panier,basket,AF,20,5.12,1.38,3.02,2.19,4.78,1.00,3.33,2.38,5.31,1.53,2.84,2.10,6,5,2,NOUN,13.82,24.39,6.39,1,,,,1
pantalon,pants,AF,162,5.84,1.39,3.84,2.06,5.56,1.76,4.22,1.99,6.00,1.14,3.63,2.11,8,6,3,NOUN,31.49,57.91,6.63,1,,,,1
paon ,peacock,AF,164,6.41,1.74,3.70,2.13,6.18,2.10,3.82,2.30,6.60,1.39,3.60,2.04,4,2,1,NOUN,0.60,3.85,5.47,1,,,,1
papier,paper,,,4.86,1.05,2.54,2.05,4.78,1.22,3.39,2.38,4.91,0.96,2.06,1.70,6,5,2,NOUN,56.32,144.59,6.59,,,,,1
papillon,butterfly,AF,40,6.97,1.77,3.92,2.23,6.53,1.94,4.41,2.27,7.35,1.57,3.50,2.16,8,6,3,NOUN,8.12,10.68,6.84,1,,,,1
paquet ,package,B,217,5.34,1.96,4.05,2.69,4.88,0.93,3.88,2.00,5.71,2.47,4.19,3.19,6,4,2,NOUN,36.90,62.77,5.50,1,,,,
parachute,parachute,,,6.44,1.83,6.51,2.48,6.67,1.50,5.56,2.55,6.41,1.88,6.63,2.47,9,7,3,NOUN,4.12,3.04,6.59,1,,,,1
paradis,paradise,,,6.65,2.07,4.05,2.75,6.18,2.46,4.29,2.82,7.05,1.64,3.85,2.74,7,6,3,NOUN,33.23,28.04,4.71,,,,,1
parapluie,umbrella,AF,245,4.08,2.71,3.49,2.88,4.41,2.40,3.12,2.34,3.80,2.98,3.80,3.30,9,8,3,NOUN,6.37,12.50,6.77,1,,,,1
parc ,park,,,6.59,1.48,4.51,2.47,6.47,1.50,4.76,2.63,6.70,1.49,4.30,2.36,4,4,1,NOUN,31.02,38.72,6.40,,,,,
pardon,pardon,,,6.82,1.62,4.46,2.19,6.25,1.04,3.88,1.96,6.89,1.66,4.52,2.22,6,5,2,NOUN,54.70,26.08,2.62,,,,,1
paresseux,indolent,,,3.75,2.52,2.90,2.21,4.83,2.48,3.42,2.75,3.55,2.50,2.80,2.11,9,6,3,ADJ,3.19,6.28,3.83,,1,,1,1
passion,passion,,,8.16,1.30,6.91,2.56,7.33,1.80,7.00,2.50,8.26,1.19,6.90,2.58,7,5,2,NOUN,30.71,68.72,2.98,,,1,,1
pastèque,watermelon,AF,252,6.89,1.47,4.24,2.35,7.35,1.62,3.94,2.46,6.50,1.24,4.50,2.28,8,6,2,NOUN,2.39,1.62,4.56,1,,,,1
pâte,pasta,,,6.59,1.92,4.35,2.19,6.41,2.24,4.47,2.55,6.75,1.65,4.25,1.89,4,3,1,NOUN,7.04,18.45,6.50,,,,,
patins,skates,,,5.35,1.69,4.08,2.51,4.76,1.35,2.88,2.20,5.85,1.81,5.10,2.34,6,4,2,NOUN,2.65,4.26,6.84,,,,,
paupière,eyelid,,,4.97,1.28,2.68,1.96,4.59,1.37,2.82,2.19,5.30,1.13,2.55,1.79,8,6,2,NOUN,0.97,7.03,6.41,,,,,
pays,country,,,6.03,2.06,4.97,2.70,5.59,1.77,4.29,2.85,6.40,2.26,5.55,2.50,4,3,2,NOUN,202.57,241.55,5.69,,,,,1
pêche,peach,AF,163,6.22,2.08,4.24,2.73,6.94,1.71,5.65,2.40,5.60,2.21,3.05,2.46,5,3,1,NOUN,21.13,26.76,6.60,1,,,,1
peigne,comb,AF,65,4.97,1.72,3.14,2.30,4.82,1.19,2.94,2.56,5.10,2.10,3.30,2.11,6,3,1,NOUN,6.07,8.85,6.75,1,,,,1
peine,distress,,,2.00,1.20,4.54,2.30,2.24,1.15,5.12,2.00,1.80,1.24,4.05,2.48,5,3,1,NOUN,193.42,388.24,4.11,,,1,,1
peinture,painting,,,5.84,1.88,3.61,2.11,5.88,1.93,3.94,1.95,5.81,1.89,3.33,2.24,8,5,2,NOUN,25.83,59.39,6.40,,,,,1
pelle,dust pan,AF,275,4.65,1.74,3.05,2.65,4.88,1.62,3.47,3.18,4.45,1.85,2.70,2.11,5,3,1,NOUN,8.75,11.35,6.54,1,,,,1
pelote ,ball of wool,B,222,5.03,1.44,2.73,1.90,4.94,1.39,3.00,1.77,5.10,1.52,2.50,2.01,6,5,2,NOUN,0.94,4.19,3.73,1,,,,
pendule,clock,B,72,4.90,1.50,3.44,2.29,5.11,1.57,3.83,2.04,4.78,1.48,3.22,2.42,7,5,2,NOUN,3.37,9.86,6.12,1,,,,
pensée,mind,,,6.83,1.81,4.86,2.61,7.00,1.76,4.83,3.27,6.80,1.83,4.86,2.51,6,4,2,NOUN,26.25,98.92,2.82,,,,,1
pénurie,shortage,,,1.68,1.02,5.71,2.73,2.56,1.42,5.44,2.74,1.56,0.90,5.75,2.75,7,6,3,NOUN,2.12,2.70,3.01,,,,,1
perceuse,drill,,,4.05,1.56,4.43,2.54,4.88,0.35,3.00,2.14,3.96,1.62,4.59,2.54,8,6,2,NOUN,0.97,0.20,5.90,1,,,,1
père,father,,,6.73,2.41,5.86,2.69,6.76,2.56,5.53,3.02,6.70,2.34,6.15,2.41,4,3,1,NOUN,879.31,708.11,6.57,,,,,
père-Noël ,Father Christmas,B,224,6.89,2.33,6.35,2.71,5.71,2.49,5.06,2.93,7.90,1.65,7.45,1.99,,,,NOUN,,,,1,,,,
perroquet,parrot,AF,300,6.30,1.87,4.57,2.68,7.00,1.17,5.29,2.62,5.70,2.15,3.95,2.65,9,6,3,NOUN,4.39,7.36,6.82,1,,,,1
petit,small,,,4.95,1.68,3.69,2.12,4.92,0.90,3.75,2.34,4.95,1.79,3.68,2.10,5,4,2,ADJ,573.72,653.78,4.44,,,,,1
petits pois,peas,AF,371,4.70,2.05,3.22,2.54,5.29,1.76,3.06,2.56,4.20,2.19,3.35,2.58,11,7,3,NOUN,0.10,0.00,,1,,,,
peur,fear,,,3.03,1.88,6.43,2.50,4.00,1.97,6.35,2.12,2.20,1.36,6.50,2.84,4,3,1,NOUN,551.83,307.23,3.32,,,1,,1
phénomène,phenomenon,,,5.39,1.03,4.70,1.91,5.67,1.12,4.33,1.87,5.35,1.02,4.75,1.93,9,7,3,NOUN,8.62,10.81,2.46,,,,,1
phoque,seal,AF,201,5.95,1.96,4.00,2.56,6.59,2.03,4.82,2.81,5.40,1.76,3.30,2.15,6,3,1,NOUN,2.24,2.77,6.60,1,,,,1
phrase,sentence,,,5.54,1.43,3.05,2.03,5.71,1.16,3.35,2.12,5.40,1.64,2.80,1.96,6,4,1,NOUN,15.40,86.76,4.93,,,,,
piano,piano,AF,171,7.14,1.93,4.59,2.85,6.88,2.20,5.41,3.08,7.35,1.69,3.90,2.51,5,5,2,NOUN,21.50,28.51,6.85,1,,,,1
pièce ,coin,B,227,6.08,1.67,3.62,2.49,5.53,1.70,3.18,2.21,6.55,1.54,4.00,2.70,5,4,1,NOUN,110.66,193.78,5.76,1,,,,
pied,foot,AF,94,5.00,1.72,3.38,2.60,5.59,1.66,3.47,2.76,4.50,1.64,3.30,2.52,4,3,1,NOUN,105.51,248.18,6.80,1,,,,1
pigeon ,pigeon,B,228,4.03,2.58,3.26,2.68,4.35,2.62,3.41,2.60,3.76,2.59,3.14,2.80,6,4,2,NOUN,8.56,7.97,6.76,1,,,,1
pile ,battery,B,230,5.03,1.28,2.95,2.28,4.94,1.75,3.29,2.78,5.10,0.72,2.65,1.79,4,3,1,NOUN,16.22,21.55,5.74,1,,,,
pince,pliers,AF,176,3.71,1.69,2.87,2.18,3.71,1.49,3.47,2.35,3.71,1.87,2.38,1.96,5,3,1,NOUN,5.62,7.64,6.10,1,,,,1
pinceau,paintbrush,AF,161,5.97,1.54,4.08,2.11,6.35,1.58,4.94,1.75,5.65,1.46,3.35,2.16,7,4,2,NOUN,2.96,10.27,6.60,1,,,,1
pingouin,penguin,AF,169,7.05,1.45,4.16,2.47,7.06,1.48,4.59,2.50,7.05,1.47,3.80,2.44,8,5,2,NOUN,2.29,1.35,6.85,1,,,,1
pion ,pawn,B,231,4.46,1.32,3.41,2.36,4.65,1.66,3.41,2.65,4.30,0.98,3.40,2.16,4,3,1,NOUN,2.98,3.58,5.30,1,,,,
pipe,pipe,,,5.25,2.00,4.25,2.58,6.50,1.77,3.13,2.75,5.11,1.98,4.38,2.55,4,3,1,NOUN,12.74,25.74,6.46,1,,,,1
piscine ,swimming pool,B,232,7.41,1.66,5.97,2.55,7.41,2.15,5.82,2.67,7.40,1.14,6.10,2.51,7,5,2,NOUN,22.19,15.74,6.88,1,,,,1
pistolet,gun,,,2.43,1.79,6.84,2.18,4.00,1.86,6.33,2.90,2.14,1.64,6.94,2.04,8,7,3,NOUN,31.63,14.80,6.55,1,,,,1
pitié,pity,,,2.83,1.79,4.26,2.49,3.44,1.01,4.11,2.47,2.75,1.86,4.28,2.51,5,5,2,NOUN,76.38,57.91,2.75,,,1,,1
placard,cupboard,AF,271,4.76,1.50,2.92,2.50,4.76,1.86,2.76,2.63,4.75,1.16,3.05,2.44,7,6,2,NOUN,19.26,25.74,5.88,1,,,,
place ,place,,,5.30,1.02,2.97,2.36,5.59,1.23,3.12,2.52,5.05,0.76,2.85,2.28,5,4,1,NOUN,280.54,437.97,3.53,,,,,
plage,beach,,,7.82,1.61,5.78,2.80,7.44,1.92,5.17,3.05,8.03,1.40,6.13,2.64,5,4,1,NOUN,44.99,72.03,6.74,,,,,
plaisir,pleasure,,,8.22,1.49,7.86,1.55,8.00,1.58,7.88,1.87,8.40,1.43,7.85,1.27,7,6,2,NOUN,177.40,208.78,4.16,,,1,,1
planche ,plank,,,4.92,1.57,2.86,2.25,4.82,1.19,2.82,2.38,5.00,1.86,2.90,2.20,7,4,1,NOUN,10.01,14.53,6.31,,,,,
planète ,planet,B,233,6.43,1.63,4.86,2.37,6.47,1.50,5.29,2.31,6.40,1.76,4.50,2.42,7,6,2,NOUN,55.29,19.86,6.40,1,,,,
plante ,plant,B,234,6.25,1.92,3.44,2.48,6.55,1.80,4.20,2.91,6.00,2.03,2.80,1.88,6,4,1,NOUN,9.00,11.49,6.81,1,,,,
plat ,dish,B,235,6.38,1.64,4.27,2.72,6.29,1.61,4.53,2.48,6.45,1.70,4.05,2.96,4,3,1,NOUN,21.87,44.26,5.85,1,,,,
pluie,rain,,,4.51,3.10,4.43,2.98,5.06,2.75,4.18,2.56,4.05,3.36,4.65,3.34,5,4,1,NOUN,42.91,111.76,6.31,,,,,1
plume,feather,AF,278,6.14,1.44,3.35,2.49,5.59,1.23,2.41,2.00,6.60,1.47,4.15,2.62,5,4,1,NOUN,6.49,33.38,6.76,1,,,,1
pneu,tire,AF,316,4.73,1.52,3.51,2.18,5.53,1.01,4.29,1.96,4.05,1.57,2.85,2.18,4,3,1,NOUN,5.64,4.93,6.60,1,,,,1
poche ,pocket,B,237,4.84,1.44,2.62,1.70,4.58,1.37,2.92,1.75,5.05,1.50,2.38,1.66,5,3,1,NOUN,36.23,101.82,6.19,1,,,,
poêle,frying pan,AF,101,5.05,2.20,3.38,2.30,5.00,2.15,4.00,2.45,5.10,2.29,2.85,2.08,5,4,1,NOUN,4.58,17.84,6.73,1,,,,1
poids ,weight,,,3.81,1.78,3.70,3.01,4.41,1.84,3.12,2.60,3.30,1.59,4.20,3.30,5,3,1,NOUN,34.42,89.05,4.50,1,,,,
poignée,handle,,,5.09,0.94,3.66,2.04,4.63,1.06,2.38,1.77,5.14,0.91,3.80,2.03,7,5,2,NOUN,11.65,36.35,5.43,1,,,,1
poing ,fist,B,238,3.53,1.97,3.63,2.44,4.06,1.95,4.35,2.55,3.10,1.92,3.05,2.25,5,3,1,NOUN,13.25,47.97,6.04,1,,,,
poire,pear,AF,166,5.92,1.80,3.32,2.17,6.12,1.76,3.76,2.28,5.75,1.86,2.95,2.06,5,4,1,NOUN,5.67,10.81,6.64,1,,,,1
